Lx;Ly;Lz
29.853;-11375.5;-1761.25
29.8539;-11375.5;-1761.25
29.8547;-11375.4;-1761.25
29.8557;-11375.3;-1761.24
29.8584;-11375.2;-1761.23
29.8682;-11374.5;-1761.18
29.8784;-11373.9;-1761.14
29.8829;-11373.6;-1761.12
29.8844;-11373.5;-1761.11
29.8853;-11373.4;-1761.1
29.8862;-11373.4;-1761.1
29.8872;-11373.3;-1761.1
29.8881;-11373.2;-1761.09
29.8891;-11373.2;-1761.09
29.8899;-11373.1;-1761.08
29.8907;-11373.1;-1761.08
29.8924;-11373;-1761.07
29.8986;-11372.6;-1761.04
29.9102;-11371.8;-1760.99
29.9173;-11371.3;-1760.96
29.9194;-11371.2;-1760.95
29.9205;-11371.1;-1760.94
29.9214;-11371.1;-1760.94
29.9223;-11371;-1760.93
29.9233;-11371;-1760.93
29.9242;-11370.9;-1760.92
29.9251;-11370.8;-1760.92
29.9259;-11370.8;-1760.92
29.927;-11370.7;-1760.91
29.9305;-11370.5;-1760.89
29.9417;-11369.8;-1760.84
29.951;-11369.2;-1760.8
29.9545;-11368.9;-1760.78
29.9558;-11368.8;-1760.78
29.9567;-11368.8;-1760.77
29.9576;-11368.7;-1760.77
29.9586;-11368.7;-1760.76
29.9595;-11368.6;-1760.76
29.9604;-11368.5;-1760.76
29.9612;-11368.5;-1760.75
29.9622;-11368.4;-1760.75
29.9642;-11368.3;-1760.74
29.9722;-11367.8;-1760.7
29.9832;-11367.1;-1760.65
29.9889;-11366.7;-1760.62
29.9907;-11366.6;-1760.62
29.9916;-11366.5;-1760.61
29.9925;-11366.5;-1760.61
29.9935;-11366.4;-1760.6
29.9944;-11366.3;-1760.6
29.9954;-11366.3;-1760.59
29.9962;-11366.2;-1760.59
29.997;-11366.2;-1760.59
29.9984;-11366.1;-1760.58
30.003;-11365.8;-1760.56
30.0148;-11365;-1760.5
30.0231;-11364.5;-1760.47
30.0258;-11364.3;-1760.45
30.027;-11364.2;-1760.45
30.0279;-11364.2;-1760.44
30.0288;-11364.1;-1760.44
30.0298;-11364;-1760.43
30.0307;-11364;-1760.43
30.0316;-11363.9;-1760.43
30.0324;-11363.9;-1760.42
30.0334;-11363.8;-1760.42
30.036;-11363.6;-1760.41
30.0457;-11363;-1760.36
30.0559;-11362.3;-1760.31
30.0605;-11362;-1760.29
30.0619;-11362;-1760.29
30.0629;-11361.9;-1760.28
30.0638;-11361.8;-1760.28
30.0647;-11361.8;-1760.27
30.0657;-11361.7;-1760.27
30.0666;-11361.6;-1760.26
30.0674;-11361.6;-1760.26
30.0683;-11361.5;-1760.26
30.0699;-11361.4;-1760.25
30.076;-11361;-1760.22
30.0876;-11360.3;-1760.17
30.0947;-11359.8;-1760.13
30.0969;-11359.7;-1760.12
30.0979;-11359.6;-1760.12
30.0988;-11359.6;-1760.11
30.0998;-11359.5;-1760.11
30.1007;-11359.4;-1760.11
30.1016;-11359.4;-1760.1
30.1025;-11359.3;-1760.1
30.1033;-11359.3;-1760.09
30.1044;-11359.2;-1760.09
30.1078;-11359;-1760.07
30.1188;-11358.3;-1760.02
30.1282;-11357.6;-1759.98
30.1318;-11357.4;-1759.96
30.1331;-11357.3;-1759.95
30.134;-11357.3;-1759.95
30.1349;-11357.2;-1759.95
30.1359;-11357.1;-1759.94
30.1368;-11357.1;-1759.94
30.1377;-11357;-1759.93
30.1385;-11357;-1759.93
30.1394;-11356.9;-1759.93
30.1414;-11356.8;-1759.92
30.1491;-11356.3;-1759.88
30.1602;-11355.6;-1759.83
30.166;-11355.2;-1759.8
30.1678;-11355.1;-1759.79
30.1688;-11355;-1759.79
30.1697;-11354.9;-1759.79
30.1706;-11354.9;-1759.78
30.1716;-11354.8;-1759.78
30.1725;-11354.8;-1759.77
30.1733;-11354.7;-1759.77
