x;y;z;r
-100;3.33558e-09;5.79946e-08;0
-100;1.34286e-08;2.31713e-07;0
-100;3.03716e-08;5.21708e-07;0
-100;5.42002e-08;9.29591e-07;0
-100;8.48977e-08;1.45752e-06;0
-100;1.22417e-07;2.10758e-06;0
-100;1.66705e-07;2.88144e-06;0
-100;2.17697e-07;3.78044e-06;0
-100;2.75304e-07;4.80583e-06;0
-100;3.39414e-07;5.9586e-06;0
-100;4.0993e-07;7.23914e-06;0
-100;4.86809e-07;8.64707e-06;0
-99.9999;5.70087e-07;1.01813e-05;0
-99.9999;6.59881e-07;1.18403e-05;0
-99.9999;7.5637e-07;1.36224e-05;0
-99.9999;8.59758e-07;1.55264e-05;0
-99.9999;9.70232e-07;1.75514e-05;0
-99.9999;1.08793e-06;1.96974e-05;0
-99.9999;1.21292e-06;2.19651e-05;0
-99.9999;1.34523e-06;2.43556e-05;0
-99.9998;1.4848e-06;2.68711e-05;0
-99.9998;1.63151e-06;2.95148e-05;0
-99.9998;1.7852e-06;3.22902e-05;0
-99.9998;1.94569e-06;3.52001e-05;0
-99.9998;2.1129e-06;3.82459e-05;0
-99.9998;2.28682e-06;4.14268e-05;0
-99.9998;2.46758e-06;4.47405e-05;0
-99.9997;2.65537e-06;4.81833e-05;0
-99.9997;2.85046e-06;5.17514e-05;0
-99.9997;3.0531e-06;5.54417e-05;0
-99.9997;3.26345e-06;5.92526e-05;0
-99.9997;3.48166e-06;6.31841e-05;0
-99.9996;3.70777e-06;6.72377e-05;0
-99.9996;3.9418e-06;7.14169e-05;0
-99.9996;4.18371e-06;7.57264e-05;0
-99.9996;4.43339e-06;8.01716e-05;0
-99.9995;4.69074e-06;8.47563e-05;0
-99.9995;4.9557e-06;8.94819e-05;0
-99.9995;5.22824e-06;9.43469e-05;0
-99.9995;5.50843e-06;9.93473e-05;0
-99.9994;5.79642e-06;0.000104478;0
-99.9994;6.09236e-06;0.000109733;0
-99.9994;6.39643e-06;0.000115109;0
-99.9993;6.70879e-06;0.000120605;0
-99.9993;7.02959e-06;0.00012622;0
-99.9993;7.359e-06;0.000131956;0
-99.9992;7.69721e-06;0.000137817;0
-99.9992;8.04437e-06;0.000143807;0
-99.9992;8.40058e-06;0.000149932;0
-99.9992;8.76585e-06;0.000156195;0
-99.9991;9.14011e-06;0.000162595;0
-99.9991;9.52324e-06;0.000169132;0
-99.999;9.91513e-06;0.0001758;0
-99.999;1.03157e-05;0.000182595;0
-99.999;1.07249e-05;0.000189511;0
-99.9989;1.11429e-05;0.000196547;0
-99.9989;1.15697e-05;0.000203701;0
-99.9989;1.20056e-05;0.000210971;0
-99.9988;1.2451e-05;0.000218361;0
-99.9988;1.29064e-05;0.000225872;0
-99.9987;1.33722e-05;0.000233509;0
-99.9987;1.38486e-05;0.000241273;0
-99.9987;1.43358e-05;0.000249168;0
-99.9986;1.48334e-05;0.000257193;0
-99.9986;1.53412e-05;0.000265346;0
-99.9985;1.58588e-05;0.000273625;0
-99.9985;1.63858e-05;0.000282026;0
-99.9984;1.6922e-05;0.000290545;0
-99.9984;1.74675e-05;0.000299182;0
-99.9983;1.80225e-05;0.000307933;0
-99.9983;1.85874e-05;0.0003168;0
-99.9982;1.91627e-05;0.000325781;0
-99.9982;1.97491e-05;0.000334876;0
-99.9981;2.03471e-05;0.000344086;0
-99.9981;2.09569e-05;0.000353413;0
-99.998;2.15786e-05;0.000362857;0
-99.998;2.22118e-05;0.00037242;0
-99.9979;2.28559e-05;0.000382102;0
-99.9979;2.35103e-05;0.000391902;0
-99.9978;2.41747e-05;0.000401819;0
-99.9978;2.4849e-05;0.000411853;0
-99.9977;2.5533e-05;0.000422001;0
-99.9977;2.62271e-05;0.000432263;0
