x;y;z;r
0.530893;0.0335978;30.7669;1.8
1.0599;0.130985;29.4003;1.8
1.55523;0.281856;27.2915;1.8
1.99768;0.46997;24.6722;1.8
2.39681;0.675101;21.8238;1.8
2.83471;0.877018;19.012;1.8
3.47118;1.07113;16.2668;1.8
4.23493;1.26662;13.4748;1.8
4.92844;1.45563;10.7886;1.8
5.41855;1.6219;8.46495;1.8
5.62111;1.74957;6.74419;1.8
5.49431;1.82637;5.80712;1.8
5.03706;1.84543;5.7503;1.8
4.28578;1.8062;6.57361;1.8
3.30754;1.71463;8.17927;1.8
2.18829;1.58261;10.382;1.8
1.01373;1.42684;12.9295;1.8
-0.171416;1.26702;15.5358;1.8
-1.46411;1.11871;18.0042;1.8
-2.94664;0.97603;20.4345;1.8
-4.42481;0.834615;22.8461;1.8
-5.67491;0.703849;25.0593;1.8
-6.5223;0.596082;26.8633;1.8
-6.84785;0.522368;28.0777;1.8
-6.59491;0.490459;28.5816;1.8
-5.77253;0.503639;28.3309;1.8
-4.45205;0.56018;27.3652;1.8
-2.75618;0.653366;25.8051;1.8
-0.839214;0.771956;23.8413;1.8
1.14845;0.900851;21.7179;1.8
3.15211;1.02238;19.6942;1.8
5.3046;1.13077;17.8225;1.8
7.54842;1.23644;15.9691;1.8
9.62013;1.33995;14.1832;1.8
11.2703;1.43512;12.6049;1.8
12.3034;1.51464;11.379;1.8
12.5959;1.57215;10.621;1.8
12.1081;1.60345;10.3986;1.8
10.8865;1.60719;10.7204;1.8
9.05698;1.58522;11.5335;1.8
6.80728;1.54271;12.725;1.8
4.35629;1.48815;14.1287;1.8
1.89085;1.43414;15.5278;1.8
-0.608856;1.39447;16.7333;1.8
-3.24017;1.36451;17.8312;1.8
-5.80312;1.33403;18.9216;1.8
-8.00999;1.30104;19.9703;1.8
-9.60618;1.26695;20.9025;1.8
-10.4051;1.23441;21.6412;1.8
-10.309;1.20632;22.1245;1.8
-9.31933;1.18521;22.3172;1.8
-7.53574;1.17277;22.2171;1.8
-5.14331;1.16937;21.8592;1.8
-2.38762;1.17346;21.3178;1.8
0.469252;1.1803;20.7161;1.8
3.27267;1.17859;20.2457;1.8
6.13705;1.16177;19.9738;1.8
9.03047;1.14193;19.7378;1.8
11.6886;1.12962;19.4471;1.8
13.8315;1.13064;19.0808;1.8
15.2284;1.14788;18.6482;1.8
15.7294;1.18184;18.1744;1.8
15.2828;1.23098;17.6924;1.8
13.9417;1.29207;17.2359;1.8
11.8574;1.36079;16.8327;1.8
9.26168;1.43265;16.4959;1.8
6.43549;1.50452;16.2085;1.8
3.6434;1.5786;15.8828;1.8
0.914497;1.66592;15.358;1.8
-1.86465;1.76316;14.7051;1.8
-4.53929;1.85413;14.1173;1.8
-6.84975;1.9258;13.7214;1.8
-8.55303;1.96886;13.5952;1.8
-9.46635;1.97781;13.7763;1.8
-9.49189;1.95123;14.2636;1.8
-8.62942;1.89167;15.0213;1.8
-6.97712;1.80521;15.9854;1.8
-4.72136;1.70048;17.0752;1.8
-2.116;1.58701;18.2119;1.8
0.552081;1.47196;19.3574;1.8
3.08488;1.35125;20.6111;1.8
5.58155;1.21743;22.0562;1.8
8.06161;1.08385;23.5014;1.8
10.3416;0.968966;24.728;1.8
12.2067;0.888189;25.5663;1.8
13.4725;0.852568;25.9014;1.8
14.0158;0.867886;25.6789;1.8
13.7911;0.934196;24.9079;1.8
12.8381;1.04595;23.6573;1.8
11.279;1.19282;22.0457;1.8
9.30694;1.36123;20.2214;1.8
7.16882;1.53708;18.3287;1.8
5.12618;1.71271;16.4185;1.8
3.23463;1.89673;14.3582;1.8
1.36057;2.08735;12.2016;1.8
-0.445009;2.26523;10.2088;1.8
-2.03703;2.41055;8.62564;1.8
-3.26592;2.50728;7.6447;1.8
-4.01234;2.54487;7.38774;1.8
-4.2066;2.51942;7.8946;1.8
-3.83944;2.43397;9.1205;1.8
-2.96544;2.29811;10.9429;1.8
-1.7002;2.1267;13.1789;1.8
-0.213953;1.93761;15.6147;1.8
1.27345;1.74728;18.0677;1.8
2.56908;1.55738;20.5558;1.8
3.75531;1.35953;23.1788;1.8
4.93242;1.16615;25.7412;1.8
6.06199;0.998225;27.9574;1.8
7.0643;0.875065;29.5741;1.8
7.85791;0.811209;30.4055;1.8
8.37828;0.814673;30.3531;1.8
8.58921;0.886038;29.4167;1.8
8.48972;1.01841;27.693;1.8
8.11752;1.19824;25.3634;1.8
7.55125;1.40707;22.6696;1.8
6.91809;1.62448;19.8699;1.8
6.41191;1.83637;17.1203;1.8
6.10582;2.04958;14.309;1.8
5.83957;2.26476;11.4616;1.8
5.52464;2.4645;8.84071;1.8
5.14449;2.62907;6.72635;1.8
