x;y;z;r
0.467452;1.97749;3.54224;1.1
-0.0630655;1.88188;5.10842;1.1
-0.5551;1.72497;7.52519;1.1
-0.986669;1.52537;10.527;1.1
-1.36872;1.30627;13.7913;1.1
-1.79534;1.09086;17.0137;1.1
-2.44965;0.884384;20.1598;1.1
-3.24996;0.676328;23.3594;1.1
-3.96991;0.475694;26.4378;1.1
-4.45688;0.301124;29.1006;1.1
-4.61441;0.170798;31.0725;1.1
-4.3946;0.098765;32.1462;1.1
-3.7962;0.0929041;32.211;1.1
-2.86096;0.153847;31.2671;1.1
-1.66572;0.274778;29.4266;1.1
-0.309001;0.442063;26.9017;1.1
1.11098;0.636565;23.9818;1.1
2.54296;0.835701;20.9944;1.1
4.09807;1.02166;18.165;1.1
5.87062;1.20115;15.3793;1.1
7.63805;1.3792;12.615;1.1
9.14396;1.54504;10.078;1.1
10.1882;1.68452;8.00989;1.1
10.6343;1.78497;6.61757;1.1
10.4172;1.83751;6.03953;1.1
9.54743;1.83837;6.32625;1.1
8.10665;1.78953;7.43239;1.1
6.23552;1.6987;9.21974;1.1
4.11089;1.57875;11.4697;1.1
1.90509;1.44699;13.9026;1.1
-0.319165;1.32367;16.2211;1.1
-2.71411;1.21541;18.3656;1.1
-5.21385;1.11026;20.4888;1.1
-7.51648;1.00759;22.5348;1.1
-9.33614;0.914474;24.3429;1.1
-10.4487;0.839295;25.7471;1.1
-10.7126;0.789335;26.6149;1.1
-10.0823;0.769414;26.8689;1.1
-8.61124;0.781078;26.4991;1.1
-6.44359;0.822197;25.5664;1.1
-3.79448;0.886866;24.1998;1.1
-0.914811;0.965334;22.5902;1.1
1.98131;1.04318;20.9857;1.1
4.91656;1.10458;19.6031;1.1
8.00252;1.15486;18.3438;1.1
11.01;1.20574;17.093;1.1
13.6093;1.25948;15.8901;1.1
15.5085;1.31448;14.8205;1.1
16.4939;1.36771;13.9728;1.1
16.4534;1.41584;13.4178;1.1
15.3887;1.45596;13.1957;1.1
13.414;1.48614;13.3092;1.1
10.7414;1.50597;13.7181;1.1
7.65233;1.5172;14.3373;1.1
4.44718;1.52529;15.0256;1.1
1.30317;1.54317;15.5634;1.1
-1.91084;1.57837;15.8737;1.1
-5.15826;1.61702;16.1428;1.1
-8.13617;1.64705;16.4745;1.1
-10.5236;1.66179;16.8929;1.1
-12.0563;1.65795;17.3873;1.1
-12.5624;1.63493;17.9289;1.1
-11.9826;1.59453;18.4798;1.1
-10.3777;1.54043;19.0015;1.1
-7.92126;1.47757;19.462;1.1
-4.87878;1.41112;19.8465;1.1
-1.5723;1.34466;20.1743;1.1
1.69498;1.27565;20.546;1.1
4.88972;1.19147;21.1458;1.1
8.14192;1.09593;21.8925;1.1
11.2742;1.00756;22.5644;1.1
13.989;0.94131;23.0165;1.1
16.0078;0.907857;23.1594;1.1
17.1211;0.913484;22.9501;1.1
17.2169;0.959835;22.3899;1.1
16.2947;1.04398;21.5198;1.1
14.4673;1.15895;20.4131;1.1
11.9481;1.29486;19.1622;1.1
9.02817;1.44077;17.8577;1.1
6.03619;1.58851;16.5431;1.1
3.19914;1.74273;15.1043;1.1
0.40337;1.91197;13.4462;1.1
-2.37349;2.08093;11.788;1.1
-4.92121;2.22846;10.3804;1.1
-6.99349;2.3369;9.41761;1.1
-8.37917;2.39359;9.03155;1.1
-8.9368;2.39189;9.28453;1.1
-8.61442;2.33175;10.1662;1.1
-7.45756;2.21953;11.5973;1.1
-5.60613;2.06706;13.4423;1.1
-3.28161;1.88991;15.531;1.1
-0.76686;1.70422;17.6981;1.1
1.63834;1.51879;19.8851;1.1
3.87025;1.32374;22.2442;1.1
6.082;1.12111;24.7137;1.1
8.21515;0.933099;26.9954;1.1
10.1034;0.782386;28.8076;1.1
11.5754;0.68737;29.9296;1.1
12.4943;0.660121;30.2218;1.1
12.7803;0.705128;29.6387;1.1
12.4227;0.81889;28.2314;1.1
11.4841;0.990418;26.1405;1.1
10.097;1.20269;23.5756;1.1
8.45652;1.43523;20.7816;1.1
6.81457;1.66918;17.968;1.1
5.3923;1.90264;15.114;1.1
4.09526;2.1452;12.1055;1.1
2.80857;2.38265;9.16642;1.1
1.57624;2.59092;6.62412;1.1
0.489635;2.74788;4.76873;1.1
-0.357904;2.83687;3.81343;1.1
-0.892417;2.84871;3.87094;1.1
-1.07241;2.78273;4.94164;1.1
-0.896753;2.64683;6.91462;1.1
-0.408688;2.45653;9.5819;1.1
0.301689;2.23299;12.6666;1.1
1.08859;1.99962;15.8726;1.1
1.72986;1.77258;19.0213;1.1
2.14167;1.54401;22.2406;1.1
2.50771;1.3132;25.5012;1.1
2.92942;1.10006;28.5022;1.1
3.42577;0.927245;30.9227;1.1
3.98136;0.813928;32.4974;1.1
4.56406;0.773019;33.0525;1.1
5.13491;0.80952;32.5263;1.1
5.6562;0.919892;30.9765;1.1
6.09929;1.09242;28.5733;1.1
6.45395;1.30853;25.5789;1.1
6.74453;1.54504;22.3127;1.1
7.07439;1.77875;19.0771;1.1
7.63099;2.00383;15.9136;1.1
8.34119;2.23089;12.6893;1.1
8.98514;2.45102;9.57616;1.1
9.42112;2.64508;6.87284;1.1
9.56344;2.79431;4.8603;1.1
9.37186;2.88414;3.75107;1.1
8.84834;2.90632;3.6605;1.1
8.03288;2.85998;4.59204;1.1
6.99573;2.75189;6.43589;1.1
5.82486;2.59578;8.98061;1.1
4.60564;2.41103;11.9367;1.1
3.37824;2.22045;14.9762;1.1
2.03075;2.04243;17.8656;1.1
0.460041;1.87091;20.7121;1.1
-1.12204;1.70051;23.5452;1.1
-2.4664;1.54242;26.1548;1.1
-3.38111;1.41152;28.2912;1.1
-3.73575;1.32119;29.7391;1.1
-3.46788;1.28084;30.3531;1.1
-2.58609;1.29457;30.0779;1.1
-1.16625;1.36047;28.9565;1.1
0.66034;1.47066;27.1273;1.1
2.72841;1.61188;24.8117;1.1
4.87673;1.7664;22.2927;1.1
7.04433;1.91359;19.872;1.1
9.38211;2.04571;17.6256;1.1
11.8416;2.17448;15.3999;1.1
14.1278;2.30051;13.2499;1.1
15.9597;2.41601;11.3451;1.1
17.1166;2.51179;9.86157;1.1
17.4574;2.57995;8.94043;1.1
16.9336;2.61527;8.66511;1.1
15.5927;2.6161;9.04845;1.1
13.5705;2.58478;10.0286;1.1
11.0719;2.52766;11.4724;1.1
8.33805;2.45509;13.1833;1.1
5.57823;2.3819;14.9082;1.1
2.78187;2.32461;16.4185;1.1
-0.173401;2.27912;17.7977;1.1
-3.075;2.23367;19.1647;1.1
-5.59602;2.18649;20.474;1.1
