k;p
116323;-1125.17
347002;-1128.42
617447;-1133.74
813484;-1141.97
860967;-1157.43
802319;-1185.69
843646;-1166.43
850118;-1145.09
703484;-1134.39
447617;-1127.53
188830;-1122.83
37634.3;-1120.18
58949.1;-1119.74
243602;-1121.57
512345;-1125.67
750741;-1132.42
861605;-1144.26
826813;-1169.35
814528;-1174.98
863400;-1148.29
778538;-1136.11
555977;-1129.69
284505;-1125.48
79379.5;-1122.57
28560;-1120.92
153879;-1120.74
401493;-1122.33
665491;-1126.29
835234;-1134.32
852001;-1152.23
797656;-1177.89
853181;-1152.98
831377;-1137.6
657177;-1131.74
392000;-1129.07
147126;-1127.34
27310.2;-1125.77
84014.7;-1124.34
292859;-1123.51
564288;-1124.2
783132;-1128.09
862566;-1139.26
811323;-1166.31
827696;-1159.88
859006;-1138.43
743448;-1131.66
502839;-1130.42
235563;-1130.74
55472;-1130.71
39846.2;-1129.56
195392;-1127.46
455312;-1125.47
708638;-1125.48
850322;-1130.87
839631;-1149.58
800974;-1166.64
858900;-1140.13
807187;-1129.61
608441;-1128.19
338436;-1129.94
111237;-1131.82
24161;-1132.13
114616;-1130.35
343724;-1127.25
613346;-1124.72
809640;-1125.8
858188;-1136.4
799714;-1162.83
839906;-1144.96
848012;-1127.1
703720;-1122.62
449533;-1123.37
190973;-1125.62
38435.8;-1127.19
57412.2;-1126.97
239735;-1124.99
507156;-1122.46
745785;-1121.76
858227;-1127.23
824857;-1148.16
810467;-1153.24
860374;-1126.89
778562;-1117.11
558606;-1114.97
287994;-1115.86
81571;-1117.48
27843.1;-1118.42
149891;-1118.14
395278;-1117.05
659034;-1116.64
830548;-1119.88
849872;-1133.6
794705;-1157.11
849194;-1130.97
830728;-1113.97
660119;-1107.44
396754;-1105.2
151043;-1104.95
28074.5;-1105.52
80663.4;-1106.28
286197;-1107.1
556534;-1108.47
776923;-1111.96
859612;-1121.73
809984;-1146.77
822845;-1139.7
856801;-1114.53
745757;-1103.17
508273;-1097.36
241180;-1094.31
58201.7;-1093.18
37849.2;-1093.59
188860;-1095.3
446381;-1098.24
700441;-1102.85
845523;-1111.26
838430;-1130.68
796956;-1148.36
855080;-1119.13
808377;-1102.88
614113;-1094.23
345637;-1088.84
116253;-1085.71
24195.1;-1084.71
109009;-1085.78
334239;-1088.79
603394;-1093.71
802733;-1101.46
856017;-1116.19
798218;-1144.35
834722;-1127.43
847342;-1105.55
708728;-1094.86
457703;-1088.23
198220;-1083.8
41021.8;-1081.34
53593.4;-1080.95
230521;-1082.71
495863;-1086.62
736564;-1093.09
854058;-1104.43
824624;-1128.51
805079;-1137.36
857206;-1110.11
781946;-1097.33
566998;-1090.63
297234;-1086.28
87037.7;-1083.37
26512;-1081.83
141659;-1081.86
383004;-1083.69
647277;-1087.8
823481;-1095.7
848705;-1112.77
792054;-1139.75
844095;-1116.58
832110;-1100.02
668117;-1093.52
407573;-1090.5
159476;-1088.65
29894.4;-1087.19
74476.2;-1086.04
274051;-1085.56
543018;-1086.57
767115;-1090.56
856509;-1101.26
810235;-1127.37
816365;-1125.37
854976;-1102.51
751886;-1094.76
519565;-1092.9
252214;-1092.85
63573.6;-1092.7
34566.2;-1091.69
177650;-1089.95
431370;-1088.42
687331;-1088.8
838926;-1094.12
838486;-1111.68
792402;-1132.35
850433;-1106.19
812180;-1094.14
625264;-1091.66
358943;-1092.58
125411;-1093.99
